Date,Adj Close
9/1/2020,0.1
9/2/2020,0.1
9/3/2020,0.1
9/4/2020,0.103
9/6/2020,0
9/8/2020,0.108
9/9/2020,0.105
9/10/2020,0.103
9/11/2020,0.103
9/13/2020,0
9/14/2020,0.1
9/15/2020,0.1
9/16/2020,0.1
9/17/2020,0.085
9/18/2020,0.083
9/20/2020,0
9/21/2020,0.08
9/22/2020,0.088
9/23/2020,0.088
9/24/2020,0.093
9/25/2020,0.09
9/27/2020,0
9/28/2020,0.088
9/29/2020,0.085
9/30/2020,0.085
10/1/2020,0.083
10/2/2020,0.085
10/4/2020,0
10/5/2020,0.085
10/6/2020,0.088
10/7/2020,0.088
10/8/2020,0.088
10/9/2020,0.093
10/11/2020,0
10/12/2020,0.09
10/13/2020,0.093
10/14/2020,0.1
10/15/2020,0.095
10/16/2020,0.09
10/18/2020,0
10/19/2020,0.09
10/20/2020,0.095
10/21/2020,0.09
10/22/2020,0.085
10/23/2020,0.083
10/25/2020,0
10/26/2020,0.08
10/27/2020,0.09
10/28/2020,0.09
10/29/2020,0.083
10/30/2020,0.083
11/1/2020,0
11/2/2020,0.083
11/3/2020,0.09
11/4/2020,0.083
11/5/2020,0.085
11/6/2020,0.083
11/8/2020,0
11/9/2020,0.088
11/10/2020,0.09
11/11/2020,0.09
11/12/2020,0.085
11/13/2020,0.083
11/15/2020,0
11/16/2020,0.075
11/17/2020,0.08
11/18/2020,0.075
11/19/2020,0.06
11/20/2020,0.058
11/22/2020,0
11/23/2020,0.07
11/24/2020,0.08
11/25/2020,0.08
11/27/2020,0
11/29/2020,0
11/30/2020,0.075
12/1/2020,0.08
12/2/2020,0.075
12/3/2020,0.075
12/4/2020,0.075
12/6/2020,0
12/7/2020,0.07
12/8/2020,0.068
12/9/2020,0.07
12/10/2020,0.07
12/11/2020,0.065
12/13/2020,0
12/14/2020,0.06
12/15/2020,0.07
12/16/2020,0.075
12/17/2020,0.08
12/18/2020,0.08
12/20/2020,0
12/21/2020,0.078
12/22/2020,0.078
12/23/2020,0.075
12/24/2020,0
12/27/2020,0
12/28/2020,0.08
12/29/2020,0.09
12/30/2020,0.07
12/31/2020,0.065
1/3/2021,0
